"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.017531, 1, 0.017531, depth='20'
0.115830, 0.400000, 0.134899, 1, 0.019069, depth='20'
