"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.020960, 1, 0.020960, depth='20'
0.143668, 0.400000, 0.166773, 1, 0.023105, depth='20'
